Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,Label,Size [vox],WA(),STD()
2020-09-07 18:00:50,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib07/anat/mtr.nii.gz,2:15,2:5,white matter,1068.6062527573506,41.530549643920274,10.246003433309282
2020-09-07 18:00:51,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vallHebron07/anat/mtr.nii.gz,3:17,2:5,white matter,1091.1558170658438,41.20287030334717,7.77264030522813
2020-09-07 18:01:23,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mgh01/anat/mtr.nii.gz,3:14,2:5,white matter,788.5867912632,46.42465290087894,5.625374550964029
2020-09-07 18:01:30,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-amu04/anat/mtr.nii.gz,2:13,2:5,white matter,693.1603161863419,46.57457318255387,5.612327293292309
2020-09-07 18:01:31,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tehranS02/anat/mtr.nii.gz,2:13,2:5,white matter,1012.0046550579344,52.92185764557351,4.14060230814014
2020-09-07 18:01:32,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-perform06/anat/mtr.nii.gz,7:20,2:5,white matter,1203.7904311543227,54.95142644106018,6.899791052983652
2020-09-07 18:01:57,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-fslAchieva01/anat/mtr.nii.gz,0:11,2:5,white matter,709.7628588939577,45.782346903661285,7.322547831494951
2020-09-07 18:01:58,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-milan01/anat/mtr.nii.gz,0:10,2:5,white matter,742.2560973719163,43.952237530578,5.0642273657568015
2020-09-07 18:02:04,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-cardiff05/anat/mtr.nii.gz,3:14,2:5,white matter,811.6391215505212,45.328703384057675,6.054373753317805
2020-09-07 18:02:05,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib05/anat/mtr.nii.gz,4:16,2:5,white matter,923.3127504022261,45.997019008272126,5.2760049465965055
2020-09-07 18:02:07,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-pavia04/anat/mtr.nii.gz,1:14,2:5,white matter,716.7643514399979,45.3851882293925,6.842102077587422
2020-09-07 18:02:14,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vallHebron03/anat/mtr.nii.gz,3:16,2:5,white matter,804.4505080286306,45.50193595111088,5.516344164940558
2020-09-07 18:02:25,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mgh05/anat/mtr.nii.gz,4:16,2:5,white matter,954.5362150314868,47.25073782514792,4.6543668697449165
2020-09-07 18:02:30,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mpicbs01/anat/mtr.nii.gz,4:15,2:5,white matter,714.3746957922292,46.671006796637734,4.527816002537191
2020-09-07 18:02:34,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vuiisIngenia05/anat/mtr.nii.gz,5:16,2:5,white matter,832.1279174583043,49.7436634888793,5.28830287436798
2020-09-07 18:02:34,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-cmrra05/anat/mtr.nii.gz,4:14,2:5,white matter,691.1446759872907,46.31200484710344,7.016472141262914
2020-09-07 18:02:41,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tehranS03/anat/mtr.nii.gz,3:14,2:5,white matter,739.6979795036312,46.375800479524344,4.809139991329805
2020-09-07 18:02:41,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-amu05/anat/mtr.nii.gz,2:13,2:5,white matter,881.5507309768583,45.829825438972506,6.041069916239523
2020-09-07 18:02:52,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordOhba05/anat/mtr.nii.gz,3:15,2:5,white matter,1061.258620949205,46.627710051442754,5.388707531330417
2020-09-07 18:02:56,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib01/anat/mtr.nii.gz,1:14,2:5,white matter,1025.8186920734638,45.56148555884007,10.9968007815774
2020-09-07 18:02:59,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib02/anat/mtr.nii.gz,5:18,2:5,white matter,1145.5258047269192,45.81157392073533,5.416579548800322
2020-09-07 18:03:00,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-cmrra01/anat/mtr.nii.gz,3:16,2:5,white matter,919.6186948995345,49.24970484557944,3.8871122933112945
2020-09-07 18:03:01,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-hamburg01/anat/mtr.nii.gz,1:15,2:5,white matter,951.7256280777265,44.48884107847368,6.1115309883654225
2020-09-07 18:03:01,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mniS05/anat/mtr.nii.gz,3:17,2:5,white matter,890.2352681818581,45.47652888109783,5.530011547354301
2020-09-07 18:03:02,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mniS08/anat/mtr.nii.gz,4:17,2:5,white matter,991.9947295665206,46.75411653540078,5.333241023140646
2020-09-07 18:03:04,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mountSinai05/anat/mtr.nii.gz,2:16,2:5,white matter,960.4883378112029,45.16639795587885,8.172557714926718
2020-09-07 18:03:08,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib06/anat/mtr.nii.gz,4:14,2:5,white matter,716.0971770489714,44.86244287143806,5.078700212800386
2020-09-07 18:03:09,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-brnoUhb08/anat/mtr.nii.gz,8:18,2:5,white matter,1344.6377183161903,57.91147090573956,4.1971063499899115
2020-09-07 18:03:09,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-amu02/anat/mtr.nii.gz,1:11,2:5,white matter,786.4399667839615,43.91778001831279,7.402348873640863
2020-09-07 18:03:10,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-balgrist05/anat/mtr.nii.gz,2:14,2:5,white matter,833.031814204921,46.028242816976714,6.43158945604494
2020-09-07 18:03:11,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-nwu05/anat/mtr.nii.gz,1:14,2:5,white matter,958.6271638684847,47.67701841424191,5.180982302223129
2020-09-07 18:03:19,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mpicbs07/anat/mtr.nii.gz,3:15,2:5,white matter,900.8207453983791,46.12511669575553,6.496239144552091
2020-09-07 18:03:21,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mniS06/anat/mtr.nii.gz,1:13,2:5,white matter,1161.5043423653192,43.07058030486292,5.547196922454223
2020-09-07 18:03:23,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mgh02/anat/mtr.nii.gz,5:14,2:5,white matter,564.2924296386776,46.84721072580508,4.427754325887882
2020-09-07 18:03:25,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-beijingPrisma04/anat/mtr.nii.gz,4:15,2:5,white matter,729.2313625515616,31.550371791674962,12.288370755055627
2020-09-07 18:03:27,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vallHebron02/anat/mtr.nii.gz,5:16,2:5,white matter,830.0833909510081,40.641261775408985,7.032287673415645
2020-09-07 18:03:27,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyo750w02/anat/mtr.nii.gz,7:20,2:5,white matter,823.0684290594797,55.64727423320002,5.22291672379667
